timestamp,action,search_mode,search_dirs,pattern,partial,case_insensitive,extensions,result_count,notes
"2026-04-11 22:17:02","set_defaults","config","/mnt/c/scr/zpy","","","","","1","Updated default search directories"
"2026-04-12 14:57:32","set_defaults","config","/mnt/c/scr","","","","","1","Updated default search directories"
"2026-04-12 14:57:40","search","all_defaults","/mnt/c/scr","fin","0","0","","0","No results"
"2026-04-12 14:57:43","search","all_defaults","/mnt/c/scr","fin.sh","0","0","","1","Single result"
"2026-04-12 14:58:59","search","all_defaults","/mnt/c/scr","fin.sh","0","0","","1","Single result"
"2026-04-12 14:59:09","search","all_defaults","/mnt/c/scr","cop","0","0","","0","No results"
"2026-04-12 14:59:12","search","all_defaults","/mnt/c/scr","cop.sh","0","0","","0","No results"
"2026-04-12 14:59:15","search","all_defaults","/mnt/c/scr","cop.zsh","0","0","","0","No results"
"2026-04-12 14:59:18","search","all_defaults","/mnt/c/scr","cop.py","0","0","","1","Single result"
"2026-04-12 14:59:56","search","all_defaults","/mnt/c/scr","fin.sh","0","0","","1","Single result"
"2026-04-12 15:00:32","search","all_defaults","/mnt/c/scr","zscr9.rb","0","0","","1","Single result"
"2026-04-12 16:20:52","set_defaults","config","/mnt/c/scr | /mnt/d | /mnt/f","","","","","3","Updated default search directories"
"2026-04-12 16:21:45","search","all_defaults","/mnt/c/scr | /mnt/d | /mnt/f","uvpy","0","0","","1","Selected from multiple results"
"2026-04-12 22:21:32","search","cwd","/mnt/c/scr/zpy/offpy","activate","0","0","","1","Single result"
"2026-04-13 00:26:16","search","primary_default","/mnt/c/scr","banshee.rb","0","0","","1","Single result"
"2026-04-13 00:53:50","search","primary_default","/mnt/c/scr","enhanced_yt_downloader.rb","0","0","","1","Single result"
"2026-04-13 18:27:36","set_defaults","config","/mnt/c/scr | /mnt/d | /mnt/e | /mnt/g","","","","","4","Updated default search directories"
"2026-04-13 18:30:28","set_defaults","config","/mnt/c/scr | /mnt/d | /mnt/g","","","","","3","Updated default search directories"
"2026-04-14 08:06:00","set_defaults","config","/mnt/d/Wyvern/scr/compare","","","","","1","Updated default search directories"
"2026-04-14 08:23:42","set_defaults","config","/mnt/c/scr","","","","","1","Updated default search directories"
"2026-04-14 08:23:47","search","primary_default","/mnt/c/scr","zscr9","0","0","","0","No results"
"2026-04-14 08:23:56","search","primary_default","/mnt/c/scr","zscr9.rb","0","0","","1","Selected from multiple results"
"2026-04-14 09:26:40","search","primary_default","/mnt/c/scr","banshee.rb","0","0","","1","Single result"
